Area,Price
200,10
250,10.4
300,10.8
350,11.2
400,11.6
450,12
500,12.4
550,12.8
600,13.2
650,13.6
700,14
750,14.4
800,14.8
850,15.2
900,15.6
950,16
1000,16.4
1050,16.8
1100,17.2
1150,17.6
1200,18
1250,18.4
1300,18.8
1350,19.2
1400,19.6
1450,20
1500,20.4
1550,20.8
1600,21.2
1650,21.6
1700,22
1750,22.4
1800,22.8
1850,23.2
1900,23.6
1950,24
2000,24.4
2050,24.8
2100,25.2
2150,25.6
2200,26
2250,26.4
2300,26.8
2350,27.2
2400,27.6
2450,28
2500,28.4
2550,28.8
2600,29.2
2650,29.6
2700,30
2750,30.4
2800,30.8
2850,31.2
2900,31.6
2950,32
3000,32.4
3050,32.8
3100,33.2
3150,33.6
3200,34
3250,34.4
3300,34.8
3350,35.2
3400,35.6
3450,36
3500,36.4
3550,36.8
3600,37.2
3650,37.6
3700,38
3750,38.4
3800,38.8
3850,39.2
3900,39.6
3950,40
4000,40.4
4050,40.8
4100,41.2
4150,41.6
4200,42
4250,42.4
4300,42.8
4350,43.2
4400,43.6
4450,44
4500,44.4
4550,44.8
4600,45.2
4650,45.6
4700,46
4750,46.4
4800,46.8
4850,47.2
4900,47.6
4950,48
5000,48.4
5050,48.8
5100,49.2
5150,49.6
5200,50
5250,50.4
5300,50.8
5350,51.2
5400,51.6
5450,52
5500,52.4
5550,52.8
5600,53.2
5650,53.6
5700,54
5750,54.4
5800,54.8
5850,55.2
5900,55.6
5950,56
6000,56.4
6050,56.8
6100,57.2
6150,57.6
6200,58
6250,58.4
6300,58.8
6350,59.2
6400,59.6
6450,60
6500,60.4
6550,60.8
6600,61.2
6650,61.6
6700,62
6750,62.4
6800,62.8
6850,63.2
6900,63.6
6950,64
7000,64.4
7050,64.8
7100,65.2
7150,65.6
7200,66
7250,66.4
7300,66.8
7350,67.2
7400,67.6
7450,68
7500,68.4
7550,68.8
7600,69.2
7650,69.6
7700,70
7750,70.4
7800,70.8
7850,71.2
7900,71.6
7950,72
8000,72.4
8050,72.8
8100,73.2
8150,73.6
8200,74
8250,74.4
8300,74.8
8350,75.2
8400,75.6
8450,76
8500,76.4
8550,76.8
8600,77.2
8650,77.6
8700,78
8750,78.4
8800,78.8
8850,79.2
8900,79.6
8950,80
9000,80.4
9050,80.8
9100,81.2
9150,81.6
9200,82
9250,82.4
9300,82.8
9350,83.2
9400,83.6
9450,84
9500,84.4
9550,84.8
9600,85.2
9650,85.6
9700,86
9750,86.4
9800,86.8
9850,87.2
9900,87.6
9950,88
10000,88.4
10050,88.8
10100,89.2
